timestamp_ms,event,current_frame,buffer_count
28889707.649,consume_frame,212,23
28889749.333,consume_frame,213,23
28889791.147,consume_frame,214,23
28889832.655,consume_frame,215,23
28889874.315,consume_frame,216,23
28889916.023,consume_frame,217,23
28889957.682,consume_frame,218,22
28889999.312,consume_frame,219,21
28890041.018,consume_frame,220,20
28890082.648,consume_frame,221,19
28890124.345,consume_frame,222,18
28890166.015,consume_frame,223,17
28890207.647,consume_frame,224,16
28890249.349,consume_frame,225,15
28890291.020,consume_frame,226,14
28890332.659,consume_frame,227,13
28890374.350,consume_frame,228,12
28890416.032,consume_frame,229,11
28890457.672,consume_frame,230,10
28890499.350,consume_frame,231,9
28890540.980,consume_frame,232,8
28890582.680,consume_frame,233,7
28890624.337,consume_frame,234,6
28890666.016,consume_frame,235,5
28890707.666,consume_frame,236,4
28890749.316,consume_frame,237,3
28890791.079,consume_frame,238,2
28890832.668,consume_frame,239,1
28890874.318,consume_frame,240,0
28890916.024,playback_end,0,0
